samples,type,quantification,log_quantification
JB_S_B2_C15,crop,1352670.593,6.131192049
JB_S_B1_M15,mouth,22003.48364,4.342491445
JB_S_B1_C26,crop,62027.60682,4.792585025
JB_S_B2_C16,crop,50253.51254,4.701166423
JB_S_B1_M01,mouth,28576.82449,4.456013968
JB_S_B1_M13,mouth,20483.92227,4.311413119
JB_S_B1_C03,crop,103353.5106,5.014325233
JB_S_B1_C17,crop,56762.79448,4.754063768
JB_S_B1_C56,crop,75937.41191,4.880455791
JB_S_B2_C28,crop,42179.23457,4.625098694
JB_S_B1_C04,crop,61912.03233,4.79177506
JB_S_B2_C29,crop,37615.79143,4.575370204
JB_S_B1_C05,crop,85804.4795,4.933509961
JB_S_B1_C19,crop,34306.7453,4.535379518
JB_S_B1_M17,mouth,28662.39913,4.457312539
JB_S_B2_C30,crop,20615.29411,4.314189535
JB_S_B2_C25,crop,56724.52183,4.753770844
JB_S_B1_C20,crop,111387.9234,5.046838107
JB_S_B1_C24,crop,108052.5478,5.033635012
JB_S_B2_C13,crop,61402.48493,4.788185947
JB_S_B1_C53,crop,158226.0514,5.19927799
JB_S_B1_C23,crop,77170.21792,4.887449727
JB_S_B1_C52,crop,147390.3747,5.168469123
JB_S_B1_C22,crop,43626.78651,4.639753225
JB_S_B2_C11,crop,31922.1197,4.504091722
JB_S_B1_C51,crop,11096.64743,4.045191788
JB_S_B1_M05,mouth,6361.722811,3.803574742
JB_S_B1_M11,mouth,7904.973052,3.897900394
JB_S_B1_C21,crop,38731.86011,4.588068355
JB_S_B2_C32,crop,25085.94761,4.399430511
JB_S_B1_C50,crop,55492.15464,4.744231588
JB_S_B1_M04,mouth,22948.49165,4.360754146
JB_S_B2_M51,mouth,10143.5851,4.006191477
JB_S_B2_C09,crop,41915.44861,4.622374119
JB_S_B2_C31,crop,45349.56157,4.656573093
JB_S_B1_M03,mouth,10499.4019,4.02116456
JB_S_B1_C01,crop,25808.70713,4.411766249
JB_S_B2_M26,mouth,11955.54319,4.077569313
2019_JB_W_B2_M010,mouth,11454.07116,4.058959877
JB_S_B2_M50,mouth,12170.48251,4.085307797
JB_S_B1_M16,mouth,8944.735191,3.951567488
JB_S_B2_M28,mouth,8167.153489,3.912070718
JB_S_B1_M09,mouth,13293.67926,4.123645196
JB_S_B2_M52,mouth,12397.55391,4.093336005
JB_S_B2_M29,mouth,10580.67683,4.02451345
JB_S_B2_M25,mouth,4055.083454,3.607999796
JB_S_B2_M53,mouth,15867.69448,4.20051383
JB_S_B2_M30,mouth,4907.952655,3.690900365
JB_S_B2_M24,mouth,9908.492521,3.996007586
JB_S_B2_M31,mouth,11264.04605,4.051694417
JB_S_B2_M23,mouth,11257.72606,4.051450677
JB_S_B2_M22,mouth,7669.861565,3.884787525
JB_S_B2_M21,mouth,12364.38865,4.092172648
JB_S_B2_M56,mouth,18558.61571,4.268545579
JB_S_B1_M20,mouth,16233.79574,4.210420077
JB_S_B2_M19,mouth,17670.09053,4.247238775
JB_S_B2_M32,mouth,9448.917567,3.97538206
JB_W_B1_10,crop,81879.94038,4.913177518
JB_W_B1_23,crop,18256.31964,4.261413231
JB_W_B1_28,crop,5123.125592,3.709535003
JB_W_B1_38,crop,5205.569392,3.71646824
JB_W_B1_74,crop,1570.622078,3.196071698
JB_W_B1_83,crop,2137.268928,3.329859172
JB_W_B1_81,crop,7336.962229,3.865516283
JB_W_B1_80,crop,8406.648006,3.924622863
JB_W_B1_79,crop,9893.51593,3.995350657
JB_W_B2_92,crop,8328.140244,3.92054803
JB_W_B2_100,crop,7443.18634,3.871758892
JB_W_B2_99,crop,1573.00362,3.196729722
JB_W_B2_94,crop,9918.079237,3.996427574
JB_W_B2_105,crop,36839.01272,4.566307983
JB_W_B2_115,crop,67120.96605,4.826858199
JB_W_B2_114,crop,6111.671025,3.786159969
JB_W_B2_147,crop,3239.359586,3.51045916
JB_W_B2_146,crop,3366.769232,3.52721335
JB_W_B2_155,crop,30831.34155,4.488992422
JB_W_B2_154,crop,33974.52755,4.531153426
JB_W_B2_153,crop,2320.170847,3.365519966
JB_W_B2_152,crop,98882.35026,4.99511878
JB_W_B2_151,crop,20519.40218,4.312164704
JB_W_B2_150,crop,57158.96823,4.757084381
JB_W_B2_149,crop,210237.1599,5.322709481
JB_W_B2_159,crop,18499.85203,4.267168255
JB_W_B2_157,crop,11902.4695,4.075637077
JB_W_B2_156,crop,60108.68462,4.778937224
2019_JB_W_B1_M094,mouth,12636.40894,4.101623672
2019_JB_W_B1_M092,mouth,17770.82212,4.24970752
2019_JB_W_B1_M152,mouth,9795.974579,3.991047649
2019_JB_W_B1_M151,mouth,8227.127844,3.915248246
2019_JB_W_B1_M150,mouth,10136.89691,4.00590503
2019_JB_W_B1_M149,mouth,9265.985291,3.966891606
2019_JB_W_B1_M147,mouth,10415.62031,4.01768514
2019_JB_W_B1_M146,mouth,12629.73481,4.101394232
2019_JB_W_B1_M080,mouth,11617.35083,4.065107105
2019_JB_W_B1_M079,mouth,10983.89384,4.040756327
2019_JB_W_B1_M074,mouth,9663.423044,3.985130992
2019_JB_W_B1_M083,mouth,11056.85275,4.043631526
2019_JB_W_B1_M081,mouth,12826.93599,4.108122927
2019_JB_W_B1_M038,mouth,10609.24694,4.025684558
2019_JB_W_B1_M115,mouth,4391.963275,3.6426587
2019_JB_W_B1_M114,mouth,7104.814882,3.851552767
2019_JB_W_B2_M023,mouth,13285.31052,4.12337171
2019_JB_W_B2_M028,mouth,22124.38489,4.344871205
2019_JB_W_B2_M100,mouth,14327.78883,4.156179172
2019_JB_W_B2_M099,mouth,20457.43303,4.310851138
2019_JB_W_B2_M105,mouth,12476.81889,4.096103871
2019_JB_W_B2_M159,mouth,9412.429168,3.973701721
2019_JB_W_B2_M157,mouth,23787.85626,4.376355306
2019_JB_W_B2_M156,mouth,12933.5717,4.111718475
2019_JB_W_B2_M155,mouth,23085.35018,4.363336467
2019_JB_W_B2_M154,mouth,19715.72094,4.294812662
2019_JB_W_B2_M153,mouth,12009.11628,4.07951105